,Corollary 5,General ST,$\frac{\rho(2)}{\lambda_3}$,True Value
5,0.11025447011814996,0.7186847134113215,1.437369426822643,0.05969229783931178
6,0.10669540578586807,0.7363614732374064,1.4727229464748124,0.057835644425674834
7,0.1068573543518587,0.7522204391479501,1.5044408782958996,0.05873105910890999
8,0.10640233186018086,0.7647682773268498,1.5295365546536994,0.05851990984323026
9,0.10745298527989326,0.7782421185925109,1.556484237185022,0.05931959605207915
10,0.1059735862108436,0.7869512439596267,1.5739024879192531,0.05887610793661766
11,0.10580472654698667,0.7957238523325647,1.5914477046651292,0.058938984110456484
12,0.10623312462799803,0.8033381604560658,1.606676320912132,0.05951841528654807
13,0.10230671778561048,0.809745579606027,1.6194911592120538,0.05729584096391875
14,0.1053481070280206,0.8171096017290893,1.6342192034581788,0.059531691158095666
15,0.1053386444071156,0.821186418251977,1.6423728365039536,0.059821121337581974
16,0.10099029384391697,0.8245397363223574,1.6490794726447153,0.05770212457358688
17,0.10172946913347733,0.8311353081260711,1.6622706162521421,0.0577129591849286
18,0.10284262343354503,0.8333246843901071,1.6666493687802142,0.05921454510550335
19,0.09783961435447841,0.8358787503543091,1.6717575007086183,0.05617427902935834
